"","nodes","id","username","name","description","created_at","verified","follower_count","indegree","outdegree","degree"
"1",1,"43406123","JwJpdx","Portland Jobs with Justice 📢↙️↙️↙️","A coalition of over 100 labor, community, faith, and student groups fighting for Workers' Rights and Economic Justice!","2009-05-29T20:47:21.000Z",FALSE,4391,0,1,1
"2",2,"2244551106","GTFF_3544","Graduate Teaching Fellows Federation (GTFF)","Graduate Employee Union at University of Oregon. Fighting for fair, safe, and democratic working conditions since 1976 ❤️‍🔥 AFT Local 3544 #UOWorksBecauseWeDo","2013-12-13T21:52:10.000Z",FALSE,2226,9,0,9
"3",3,"1144062096721637376","maijewind","dylan","organizer @sierraclub ~ co-founder/board secretary @breachcollectiv ~ trustee @pwunion1 ~ he/him","2019-06-27T01:57:14.000Z",FALSE,993,0,1,1
"4",4,"229631599","IvyALyons","ivy","Bringing chaos to @wtop and the researchers @merrillcollege on a near daily basis. Radical authenticity. Love good unions @sagaftra @umd_glu","2010-12-22T22:33:13.000Z",FALSE,705,0,1,1
"5",5,"885491956037689344","UMD_GLU","UMD Graduate Labor Union","Safe working conditions, living wages, enforceable grievance policies, & a democratic, mass-participation union for all UMD grad workers! (FSE now GLU)","2017-07-13T13:31:48.000Z",FALSE,1284,7,0,7
"6",6,"1419013260","KStateEntom","K-State Department of Entomology","Great folks doing great work with small creatures in a great place! https://t.co/C9WZsIS9Fo","2013-05-10T20:44:45.000Z",FALSE,2943,0,1,1
"7",7,"1413434670","KSUGradSchool","K-StateGradSchool","Your connection for all information regarding the Graduate School. Social media user policy: https://t.co/TDk9R5A46E","2013-05-08T17:52:26.000Z",FALSE,1696,1,0,1
"8",8,"37946986","derdunklekommt","der Dunkle, γυναικαδουλος","Ecumenist on Christian Twitter.
ΓΥΝΑΙΚΑΔΟΥΛΟΣ
Orthodoxish and highish church in spirit. In ACNA.
Due cani notte.
Gooner.
דאַלױ פּאָליצ","2009-05-05T15:33:21.000Z",FALSE,400,0,1,1
"9",9,"727331959706423296","RobertSecundus","rob💾","","2016-05-03T03:00:27.000Z",FALSE,1919,2,0,2
"10",10,"56416028","DCLabor","Metro Washington Council AFL-CIO","We unite over 150 union locals in DC and Maryland to fight for justice for all working people. Affiliate of @AFLCIO.","2009-07-13T16:24:32.000Z",FALSE,4939,0,1,1
"11",11,"975827451296272384","PWUnion1","Progressive Workers Union","We represent 500+ workers @sierraclub, @350usunion, @GPUSAWorkers, @UnitedUCS, & Appalachian Voices Workers Union. 

Contact: excom@progressiveworkersunion.org","2018-03-19T20:12:49.000Z",FALSE,2596,0,1,1
"12",12,"1694550731951640576","OregonDemocracy","Oregon Democracy","Amplifying OR Democratic legislators, election info, legislation, nonprofits w/ Democratic values, news, good things happening in OR. 🌊💙#BidenHarris2024💙🌊","2023-08-24T03:22:58.000Z",FALSE,642,0,1,1
"13",13,"65934237","eidlin","Barry Eidlin","Former organizer, current Associate Professor of Sociology at McGill University. Author, Labor and the Class Idea in the US and Canada (@CambridgeUP, 2018)","2009-08-15T16:53:06.000Z",FALSE,4500,0,1,1
"14",14,"1108888268","gracabi","Gali Racabi","Asst Prof, labor and employment law, @CornellILR; Associate Faculty @CornellLaw _ Father of 4","2013-01-21T12:19:32.000Z",FALSE,1699,1,0,1
"15",15,"300910650","PT_ajiboye","Ajiboye Ridwan (PT)","A physiotherapist, Salafee, OAU Alumnus","2011-05-18T15:19:25.000Z",FALSE,890,0,2,2
"16",16,"151010098","jeffphilips1","Souljah","Just here to puncture all your overbloated Twitter egos","2010-06-02T11:30:17.000Z",FALSE,207198,1,0,1
"17",17,"456844208","PaulAlaje","Paul Alaje","Chief Economist & Partner @SPMProfessional |BSc: @OAU, |MSc: University of Chichester @chiuni UK |MPhil & PhD Econs: @nileuni | I Build Nations' Economies|","2012-01-06T18:39:40.000Z",FALSE,5225,1,0,1
"18",18,"1225893066","mgevaart","My Labor Radio","Union member-Host MyLaborRadio podcast @laborradionet team member. I train & compete w/Agility Dogs. Search My Labor Radio in Podcasts","2013-02-27T19:47:09.000Z",FALSE,3154,0,5,5
"19",19,"88735607","OregonAFLCIO","Oregon AFL-CIO","We are a strong voice for Oregon's workers and the statewide federation of unions representing over 300,000 working Oregonians across the state.
#OregonLabor","2009-11-09T19:12:39.000Z",FALSE,6719,0,1,1
"20",20,"1169138665320321030","RManta82","RayManta82","Really hoping it's wont be bad as I thought it would be","2019-09-04T06:45:50.000Z",FALSE,666,0,1,1
"21",21,"1124150378231156736","AvrgKetUser","MaeB 🌙 🇵🇸","Mae 🌌 | She/Her | ☭ | 20 | Estrogen Truther | Unclouded | @uoswunion @uoydsa","2019-05-03T03:15:10.000Z",FALSE,243,0,1,1
"22",22,"1104108075387179013","MiguelAntonioG_","Miguel Antonio Guevara","Writer | Phd Student @uoregon | Sociologist & MSc in Philosophy | Subjetivity | Latin American Studies | Digital humanities | Editor at @mentekupa","2019-03-08T19:54:13.000Z",FALSE,1034,0,1,1
"23",23,"827350579382849536","davidthewid","David Widder - @davidthewid@hci.social","forever trying to help computer people think more critically about computer

artIG@davidthewid

Postdoc@Cornell Tech.

PhD from CMU, exNASA/MSR/IntelLabs.","2017-02-03T02:58:44.000Z",FALSE,2368,0,1,1
"24",24,"1306503632083353602","graff_stephanie","Stephanie Graff","Basketball mom🏀❤️","2020-09-17T08:02:24.000Z",FALSE,48,0,1,1
"25",25,"1886858414","KeanRegistrar","Kean University Office of the Registrar","The Official Twitter Feed of the Office of the Registrar @ Kean University. Located in CAS Building 1st Fl. (908) 737-3463 (R-EGME) regme@kean.edu","2013-09-20T15:16:25.000Z",FALSE,524,1,0,1
"26",26,"1209474866","dennismhogan","Dennis M. Hogan","Writing on C19 Central America and labor and the US university | postdoc, organizer & onetime union staffer | Go easy, step lightly, stay free. | he/him","2013-02-22T18:38:21.000Z",FALSE,6827,0,1,1
"27",27,"1004821397938606081","thehousered","C.M. Lewis","member, @wbng32035. president, @7mountainsAFL. part of @strikewave crew. bylines many places, tweets strictly my own. let's go buffalo. he/him","2018-06-07T20:24:24.000Z",FALSE,13896,5,0,5
"28",28,"1048678307531841541","aalimcclory","aron🌹🇵🇸💫 أنيس","@ydsa_ co-chair & @demsocialists npc 🌹 @ufydsa 🐊🍊💙 Building the Future of YDSA with @ydsa_constella 💫⭐️","2018-10-06T20:56:06.000Z",FALSE,660,0,3,3
